Striker,Season,Venue,Batting Team,total_runs,balls_faced,strike_rate,Bowler,Bowling Team,total_wickets,total_runs_conceded,balls_bowled,economy_rate
AB de Villiers,15,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,207,126,164.2857143,0,0,0,0,0,0
AB de Villiers,15,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bengaluru,21,14,150,0,0,0,0,0,0
AB de Villiers,15,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bengaluru,66,40,165,0,0,0,0,0,0
AB de Villiers,15,"Punjab Cricket Association IS Bindra Stadium, Mohali",Royal Challengers Bengaluru,10,10,100,0,0,0,0,0,0
AB de Villiers,15,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Royal Challengers Bengaluru,0,1,0,0,0,0,0,0,0
AB de Villiers,15,"Sardar Patel Stadium, Motera",Royal Challengers Bengaluru,47,34,138.2352941,0,0,0,0,0,0
AB de Villiers,15,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,133,61,218.0327869,0,0,0,0,0,0
AB de Villiers,16,"Eden Gardens, Kolkata",Royal Challengers Bengaluru,59,32,184.375,0,0,0,0,0,0
AB de Villiers,16,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,379,222,170.7207207,0,0,0,0,0,0
AB de Villiers,16,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bengaluru,83,46,180.4347826,0,0,0,0,0,0
AB de Villiers,16,"Punjab Cricket Association IS Bindra Stadium, Mohali",Royal Challengers Bengaluru,64,35,182.8571429,0,0,0,0,0,0
AB de Villiers,16,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Royal Challengers Bengaluru,47,33,142.4242424,0,0,0,0,0,0
AB de Villiers,16,Saurashtra Cricket Association Stadium,Royal Challengers Bengaluru,20,16,125,0,0,0,0,0,0
AB de Villiers,16,Shaheed Veer Narayan Singh International Stadium,Royal Challengers Bengaluru,6,9,66.66666667,0,0,0,0,0,0
AB de Villiers,16,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,29,22,131.8181818,0,0,0,0,0,0
AB de Villiers,17,"Eden Gardens, Kolkata",Royal Challengers Bengaluru,8,6,133.3333333,0,0,0,0,0,0
AB de Villiers,17,Holkar Cricket Stadium,Royal Challengers Bengaluru,89,49,181.6326531,0,0,0,0,0,0
AB de Villiers,17,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,73,80,91.25,0,0,0,0,0,0
AB de Villiers,17,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bengaluru,3,8,37.5,0,0,0,0,0,0
AB de Villiers,17,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,43,28,153.5714286,0,0,0,0,0,0
AB de Villiers,18,"Arun Jaitley Stadium, Delhi",Royal Challengers Bengaluru,72,37,194.5945946,0,0,0,0,0,0
AB de Villiers,18,"Eden Gardens, Kolkata",Royal Challengers Bengaluru,44,23,191.3043478,0,0,0,0,0,0
AB de Villiers,18,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,304,170,178.8235294,0,0,0,0,0,0
AB de Villiers,18,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bengaluru,1,4,25,0,0,0,0,0,0
AB de Villiers,18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Royal Challengers Bengaluru,5,9,55.55555556,0,0,0,0,0,0
AB de Villiers,18,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bengaluru,53,35,151.4285714,0,0,0,0,0,0
AB de Villiers,18,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,1,2,50,0,0,0,0,0,0
AB de Villiers,19,"Arun Jaitley Stadium, Delhi",Royal Challengers Bengaluru,17,19,89.47368421,0,0,0,0,0,0
AB de Villiers,19,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,268,165,162.4242424,0,0,0,0,0,0
AB de Villiers,19,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bengaluru,9,10,90,0,0,0,0,0,0
AB de Villiers,19,"Punjab Cricket Association IS Bindra Stadium, Mohali",Royal Challengers Bengaluru,59,38,155.2631579,0,0,0,0,0,0
AB de Villiers,19,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Royal Challengers Bengaluru,1,2,50,0,0,0,0,0,0
AB de Villiers,19,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bengaluru,13,9,144.4444444,0,0,0,0,0,0
AB de Villiers,19,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,75,51,147.0588235,0,0,0,0,0,0
AB de Villiers,21,Dubai International Cricket Stadium,Royal Challengers Bengaluru,284,179,158.6592179,0,0,0,0,0,0
AB de Villiers,21,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bengaluru,125,68,183.8235294,0,0,0,0,0,0
AB de Villiers,21,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,78,52,150,0,0,0,0,0,0
AB de Villiers,21,Sharjah Cricket Stadium,Royal Challengers Bengaluru,145,102,142.1568627,0,0,0,0,0,0
AB de Villiers,21,"Sheikh Zayed Stadium, Abu Dhabi",Royal Challengers Bengaluru,137,101,135.6435644,0,0,0,0,0,0
AB de Villiers,21,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,4,9,44.44444444,0,0,0,0,0,0
AC Blizzard,11,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,6,6,100,0,0,0,0,0,0
AC Blizzard,11,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,10,11,90.90909091,0,0,0,0,0,0
AC Blizzard,11,"Punjab Cricket Association IS Bindra Stadium, Mohali",Mumbai Indians,15,10,150,0,0,0,0,0,0
AC Blizzard,11,"Wankhede Stadium, Mumbai",Mumbai Indians,89,61,145.9016393,0,0,0,0,0,0
AC Blizzard,12,"Arun Jaitley Stadium, Delhi",Mumbai Indians,0,3,0,0,0,0,0,0,0
AC Gilchrist,8,"Arun Jaitley Stadium, Delhi",Deccan Chargers,14,10,140,0,0,0,0,0,0
AC Gilchrist,8,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,109,50,218,0,0,0,0,0,0
AC Gilchrist,8,"Eden Gardens, Kolkata",Deccan Chargers,23,24,95.83333333,0,0,0,0,0,0
AC Gilchrist,8,"M Chinnaswamy Stadium, Bengaluru",Deccan Chargers,10,12,83.33333333,0,0,0,0,0,0
AC Gilchrist,8,"MA Chidambaram Stadium, Chepauk, Chennai",Deccan Chargers,54,37,145.9459459,0,0,0,0,0,0
AC Gilchrist,8,"Punjab Cricket Association IS Bindra Stadium, Mohali",Deccan Chargers,50,42,119.047619,0,0,0,0,0,0
AC Gilchrist,8,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,115,104,110.5769231,0,0,0,0,0,0
AC Gilchrist,8,"Sawai Mansingh Stadium, Jaipur",Deccan Chargers,61,49,124.4897959,0,0,0,0,0,0
AC Gilchrist,9,Buffalo Park,Deccan Chargers,0,1,0,0,0,0,0,0,0
AC Gilchrist,9,De Beers Diamond Oval,Deccan Chargers,30,29,103.4482759,0,0,0,0,0,0
AC Gilchrist,9,Kingsmead,Deccan Chargers,143,76,188.1578947,0,0,0,0,0,0
AC Gilchrist,9,New Wanderers Stadium,Deccan Chargers,66,48,137.5,0,0,0,0,0,0
AC Gilchrist,9,Newlands,Deccan Chargers,84,56,150,0,0,0,0,0,0
AC Gilchrist,9,St George's Park,Deccan Chargers,39,36,108.3333333,0,0,0,0,0,0
AC Gilchrist,9,SuperSport Park,Deccan Chargers,133,91,146.1538462,0,0,0,0,0,0
AC Gilchrist,10,"Arun Jaitley Stadium, Delhi",Deccan Chargers,10,9,111.1111111,0,0,0,0,0,0
AC Gilchrist,10,Barabati Stadium,Deccan Chargers,57,27,211.1111111,0,0,0,0,0,0
AC Gilchrist,10,"Brabourne Stadium, Mumbai",Deccan Chargers,19,14,135.7142857,0,0,0,0,0,0
AC Gilchrist,10,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,73,65,112.3076923,0,0,0,0,0,0
AC Gilchrist,10,"Eden Gardens, Kolkata",Deccan Chargers,9,5,180,0,0,0,0,0,0
AC Gilchrist,10,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Deccan Chargers,9,5,180,0,0,0,0,0,0
AC Gilchrist,10,"M Chinnaswamy Stadium, Bengaluru",Deccan Chargers,32,21,152.3809524,0,0,0,0,0,0
AC Gilchrist,10,"MA Chidambaram Stadium, Chepauk, Chennai",Deccan Chargers,38,20,190,0,0,0,0,0,0
AC Gilchrist,10,"Sardar Patel Stadium, Motera",Deccan Chargers,1,3,33.33333333,0,0,0,0,0,0
AC Gilchrist,10,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,41,31,132.2580645,0,0,0,0,0,0
AC Gilchrist,11,"Arun Jaitley Stadium, Delhi",Punjab Kings,42,33,127.2727273,0,0,0,0,0,0
AC Gilchrist,11,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,1,3,33.33333333,0,0,0,0,0,0
AC Gilchrist,11,"Eden Gardens, Kolkata",Punjab Kings,26,29,89.65517241,0,0,0,0,0,0
AC Gilchrist,11,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Punjab Kings,166,105,158.0952381,0,0,0,0,0,0
AC Gilchrist,11,Holkar Cricket Stadium,Punjab Kings,9,17,52.94117647,0,0,0,0,0,0
AC Gilchrist,11,"M Chinnaswamy Stadium, Bengaluru",Punjab Kings,0,1,0,0,0,0,0,0,0
AC Gilchrist,11,"Punjab Cricket Association IS Bindra Stadium, Mohali",Punjab Kings,78,70,111.4285714,0,0,0,0,0,0
AC Gilchrist,11,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,61,49,124.4897959,0,0,0,0,0,0
AC Gilchrist,11,"Wankhede Stadium, Mumbai",Punjab Kings,0,2,0,0,0,0,0,0,0
AC Gilchrist,12,"Eden Gardens, Kolkata",Punjab Kings,5,9,55.55555556,0,0,0,0,0,0
AC Gilchrist,12,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Punjab Kings,73,61,119.6721311,0,0,0,0,0,0
AC Gilchrist,12,"Punjab Cricket Association IS Bindra Stadium, Mohali",Punjab Kings,61,47,129.787234,0,0,0,0,0,0
AC Gilchrist,12,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,27,19,142.1052632,0,0,0,0,0,0
AC Gilchrist,12,Subrata Roy Sahara Stadium,Punjab Kings,6,11,54.54545455,0,0,0,0,0,0
AC Gilchrist,13,"Arun Jaitley Stadium, Delhi",Punjab Kings,6,3,200,0,0,0,0,0,0
AC Gilchrist,13,"Eden Gardens, Kolkata",Punjab Kings,27,27,100,0,0,0,0,0,0
AC Gilchrist,13,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Punjab Kings,47,33,142.4242424,AC Gilchrist,Punjab Kings,1,0,1,0
AC Gilchrist,13,"M Chinnaswamy Stadium, Bengaluru",Punjab Kings,85,57,149.122807,0,0,0,0,0,0
AC Gilchrist,13,"Punjab Cricket Association IS Bindra Stadium, Mohali",Punjab Kings,88,77,114.2857143,0,0,0,0,0,0
AC Gilchrist,13,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,26,25,104,0,0,0,0,0,0
AC Gilchrist,13,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,0,2,0,0,0,0,0,0,0
AC Gilchrist,13,Subrata Roy Sahara Stadium,Punjab Kings,15,10,150,0,0,0,0,0,0
0,11,"Arun Jaitley Stadium, Delhi",0,0,0,0,AC Thomas,Pune Warriors,0,15,18,5
0,11,"Dr DY Patil Sports Academy, Mumbai",0,0,0,0,AC Thomas,Pune Warriors,5,186,124,9
0,11,"M Chinnaswamy Stadium, Bengaluru",0,0,0,0,AC Thomas,Pune Warriors,2,23,24,5.75
AC Thomas,11,"MA Chidambaram Stadium, Chepauk, Chennai",Pune Warriors,1,2,50,AC Thomas,Pune Warriors,2,29,25,6.96
0,11,"Sawai Mansingh Stadium, Jaipur",0,0,0,0,AC Thomas,Pune Warriors,1,28,25,6.72
AC Thomas,11,"Wankhede Stadium, Mumbai",Pune Warriors,0,2,0,AC Thomas,Pune Warriors,1,16,24,4
0,12,"Arun Jaitley Stadium, Delhi",0,0,0,0,AC Thomas,Pune Warriors,3,22,24,5.5
AC Thomas,12,Subrata Roy Sahara Stadium,Pune Warriors,19,15,126.6666667,AC Thomas,Pune Warriors,0,87,63,8.285714286
AC Voges,10,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,15,17,88.23529412,AC Voges,Rajasthan Royals,0,9,7,7.714285714
AC Voges,10,"Eden Gardens, Kolkata",Rajasthan Royals,8,7,114.2857143,AC Voges,Rajasthan Royals,0,16,7,13.71428571
AC Voges,10,"Punjab Cricket Association IS Bindra Stadium, Mohali",Rajasthan Royals,45,24,187.5,AC Voges,Rajasthan Royals,0,12,12,6
AC Voges,10,"Sardar Patel Stadium, Motera",Rajasthan Royals,57,41,139.0243902,AC Voges,Rajasthan Royals,0,22,24,5.5
AC Voges,10,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,56,54,103.7037037,AC Voges,Rajasthan Royals,0,17,6,17
AD Hales,18,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,14,10,140,0,0,0,0,0,0
AD Hales,18,"M Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,37,24,154.1666667,0,0,0,0,0,0
AD Hales,18,"Maharashtra Cricket Association Stadium, Pune",Sunrisers Hyderabad,2,9,22.22222222,0,0,0,0,0,0
AD Hales,18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,50,37,135.1351351,0,0,0,0,0,0
AD Hales,18,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,45,39,115.3846154,0,0,0,0,0,0
AD Mascarenhas,8,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,9,8,112.5,AD Mascarenhas,Rajasthan Royals,2,27,25,6.48
AD Mascarenhas,9,Newlands,Rajasthan Royals,31,31,100,AD Mascarenhas,Rajasthan Royals,4,78,72,6.5
AD Mascarenhas,9,SuperSport Park,Rajasthan Royals,8,8,100,AD Mascarenhas,Rajasthan Royals,2,54,44,7.363636364
AD Mascarenhas,10,"Brabourne Stadium, Mumbai",Rajasthan Royals,9,8,112.5,AD Mascarenhas,Rajasthan Royals,2,34,24,8.5
AD Mascarenhas,10,"Sardar Patel Stadium, Motera",Rajasthan Royals,3,3,100,AD Mascarenhas,Rajasthan Royals,2,31,24,7.75
AD Mascarenhas,12,"Eden Gardens, Kolkata",Punjab Kings,0,1,0,AD Mascarenhas,Punjab Kings,1,34,24,8.5
AD Mascarenhas,12,"Punjab Cricket Association IS Bindra Stadium, Mohali",Punjab Kings,9,10,90,AD Mascarenhas,Punjab Kings,5,48,49,5.87755102
AD Mascarenhas,12,Subrata Roy Sahara Stadium,Punjab Kings,5,5,100,AD Mascarenhas,Punjab Kings,1,23,24,5.75
AD Mascarenhas,13,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,5,5,100,AD Mascarenhas,Punjab Kings,0,25,24,6.25
AD Mathews,9,SuperSport Park,Kolkata Knight Riders,16,14,114.2857143,AD Mathews,Kolkata Knight Riders,0,31,15,12.4
AD Mathews,10,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,24,20,120,AD Mathews,Kolkata Knight Riders,0,11,12,5.5
AD Mathews,10,"Brabourne Stadium, Mumbai",Kolkata Knight Riders,3,3,100,AD Mathews,Kolkata Knight Riders,0,29,22,7.909090909
AD Mathews,10,"Dr DY Patil Sports Academy, Mumbai",Kolkata Knight Riders,65,49,132.6530612,AD Mathews,Kolkata Knight Riders,1,27,26,6.230769231
AD Mathews,10,"Eden Gardens, Kolkata",Kolkata Knight Riders,73,59,123.7288136,AD Mathews,Kolkata Knight Riders,5,148,103,8.621359223
AD Mathews,10,"M Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,1,2,50,AD Mathews,Kolkata Knight Riders,1,25,18,8.333333333
AD Mathews,10,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,48,51,94.11764706,AD Mathews,Kolkata Knight Riders,0,15,7,12.85714286
AD Mathews,10,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kolkata Knight Riders,19,13,146.1538462,AD Mathews,Kolkata Knight Riders,1,26,24,6.5
0,10,"Sardar Patel Stadium, Motera",0,0,0,0,AD Mathews,Kolkata Knight Riders,0,33,18,11
AD Mathews,12,"Arun Jaitley Stadium, Delhi",Pune Warriors,6,2,300,AD Mathews,Pune Warriors,0,30,13,13.84615385
AD Mathews,12,"Eden Gardens, Kolkata",Pune Warriors,35,28,125,AD Mathews,Pune Warriors,2,17,24,4.25
AD Mathews,12,"M Chinnaswamy Stadium, Bengaluru",Pune Warriors,10,7,142.8571429,AD Mathews,Pune Warriors,1,35,24,8.75
AD Mathews,12,"MA Chidambaram Stadium, Chepauk, Chennai",Pune Warriors,27,23,117.3913043,AD Mathews,Pune Warriors,0,12,6,12
AD Mathews,12,"Punjab Cricket Association IS Bindra Stadium, Mohali",Pune Warriors,11,9,122.2222222,AD Mathews,Pune Warriors,1,20,18,6.666666667
AD Mathews,12,"Sawai Mansingh Stadium, Jaipur",Pune Warriors,23,19,121.0526316,AD Mathews,Pune Warriors,1,29,24,7.25
AD Mathews,12,Subrata Roy Sahara Stadium,Pune Warriors,15,22,68.18181818,AD Mathews,Pune Warriors,2,47,49,5.755102041
0,13,JSCA International Stadium Complex,0,0,0,0,AD Mathews,Pune Warriors,0,25,18,8.333333333
AD Mathews,13,"Maharashtra Cricket Association Stadium, Pune",Pune Warriors,20,24,83.33333333,AD Mathews,Pune Warriors,0,29,24,7.25
AD Mathews,13,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pune Warriors,8,6,133.3333333,AD Mathews,Pune Warriors,0,16,12,8
AD Mathews,13,"Sawai Mansingh Stadium, Jaipur",Pune Warriors,18,15,120,AD Mathews,Pune Warriors,1,34,18,11.33333333
AD Mathews,13,Subrata Roy Sahara Stadium,Pune Warriors,107,77,138.961039,AD Mathews,Pune Warriors,4,97,92,6.326086957
AD Mathews,13,"Wankhede Stadium, Mumbai",Pune Warriors,19,19,100,AD Mathews,Pune Warriors,0,29,24,7.25
AD Mathews,15,"Arun Jaitley Stadium, Delhi",Delhi Capitals,72,47,153.1914894,AD Mathews,Delhi Daredevils,3,112,82,8.195121951
AD Mathews,15,"Brabourne Stadium, Mumbai",Delhi Capitals,16,19,84.21052632,AD Mathews,Delhi Daredevils,1,27,24,6.75
AD Mathews,15,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Delhi Capitals,15,11,136.3636364,AD Mathews,Delhi Daredevils,1,38,24,9.5
AD Mathews,15,"Eden Gardens, Kolkata",Delhi Capitals,22,15,146.6666667,AD Mathews,Delhi Daredevils,0,13,12,6.5
AD Mathews,15,"M Chinnaswamy Stadium, Bengaluru",Delhi Capitals,1,3,33.33333333,0,0,0,0,0,0
AD Mathews,15,"Maharashtra Cricket Association Stadium, Pune",Delhi Capitals,6,4,150,AD Mathews,Delhi Daredevils,1,23,19,7.263157895
AD Mathews,15,"Wankhede Stadium, Mumbai",Delhi Capitals,12,10,120,AD Mathews,Delhi Daredevils,1,33,24,8.25
AD Mathews,17,"Arun Jaitley Stadium, Delhi",Delhi Capitals,1,4,25,AD Mathews,Delhi Daredevils,0,15,12,7.5
AD Mathews,17,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Delhi Capitals,31,24,129.1666667,AD Mathews,Delhi Daredevils,0,41,19,12.94736842
AD Nath,16,"M Chinnaswamy Stadium, Bengaluru",Gujarat Lions,3,6,50,0,0,0,0,0,0
AD Nath,16,Saurashtra Cricket Association Stadium,Gujarat Lions,5,10,50,0,0,0,0,0,0
AD Nath,16,"Wankhede Stadium, Mumbai",Gujarat Lions,12,11,109.0909091,0,0,0,0,0,0
AD Nath,17,Saurashtra Cricket Association Stadium,Gujarat Lions,0,1,0,0,0,0,0,0,0
AD Nath,18,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,9,13,69.23076923,0,0,0,0,0,0
AD Nath,19,"Eden Gardens, Kolkata",Royal Challengers Bengaluru,13,16,81.25,0,0,0,0,0,0
AD Nath,19,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,46,39,117.9487179,0,0,0,0,0,0
AD Nath,19,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,2,3,66.66666667,0,0,0,0,0,0
AD Russell,12,"Arun Jaitley Stadium, Delhi",Delhi Capitals,31,16,193.75,AD Russell,Delhi Daredevils,0,41,25,9.84
0,12,"Himachal Pradesh Cricket Association Stadium, Dharamsala",0,0,0,0,AD Russell,Delhi Daredevils,1,51,25,12.24
AD Russell,12,"MA Chidambaram Stadium, Chepauk, Chennai",Delhi Capitals,16,11,145.4545455,AD Russell,Delhi Daredevils,0,30,24,7.5
0,12,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,0,0,0,AD Russell,Delhi Daredevils,0,39,24,9.75
AD Russell,13,"Arun Jaitley Stadium, Delhi",Delhi Capitals,7,7,100,AD Russell,Delhi Daredevils,0,44,25,10.56
AD Russell,13,"Eden Gardens, Kolkata",Delhi Capitals,4,8,50,AD Russell,Delhi Daredevils,0,24,19,7.578947368
AD Russell,14,JSCA International Stadium Complex,Kolkata Knight Riders,1,5,20,AD Russell,Kolkata Knight Riders,1,25,12,12.5
AD Russell,14,"Sardar Patel Stadium, Motera",Kolkata Knight Riders,1,3,33.33333333,AD Russell,Kolkata Knight Riders,0,27,19,8.526315789
0,15,"Arun Jaitley Stadium, Delhi",0,0,0,0,AD Russell,Kolkata Knight Riders,0,21,18,7
AD Russell,15,"Brabourne Stadium, Mumbai",Kolkata Knight Riders,37,22,168.1818182,AD Russell,Kolkata Knight Riders,3,32,24,8
AD Russell,15,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Kolkata Knight Riders,19,10,190,AD Russell,Kolkata Knight Riders,1,6,6,6
AD Russell,15,"Eden Gardens, Kolkata",Kolkata Knight Riders,153,82,186.5853659,AD Russell,Kolkata Knight Riders,5,141,116,7.293103448
AD Russell,15,"M Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,45,17,264.7058824,AD Russell,Kolkata Knight Riders,1,22,11,12
AD Russell,15,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,4,4,100,AD Russell,Kolkata Knight Riders,2,23,28,4.928571429
AD Russell,15,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders,66,36,183.3333333,AD Russell,Kolkata Knight Riders,2,39,26,9
AD Russell,15,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,2,4,50,AD Russell,Kolkata Knight Riders,0,37,25,8.88
AD Russell,16,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,17,14,121.4285714,AD Russell,Kolkata Knight Riders,3,26,24,6.5
AD Russell,16,"Eden Gardens, Kolkata",Kolkata Knight Riders,91,51,178.4313725,AD Russell,Kolkata Knight Riders,10,155,115,8.086956522
AD Russell,16,"M Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,39,27,144.4444444,AD Russell,Kolkata Knight Riders,1,24,25,5.76
AD Russell,16,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders,17,12,141.6666667,AD Russell,Kolkata Knight Riders,0,16,12,8
0,16,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,0,0,AD Russell,Kolkata Knight Riders,0,18,6,18
AD Russell,16,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kolkata Knight Riders,2,5,40,AD Russell,Kolkata Knight Riders,1,19,24,4.75
AD Russell,16,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,22,16,137.5,AD Russell,Kolkata Knight Riders,0,28,18,9.333333333
AD Russell,18,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,44,32,137.5,AD Russell,Kolkata Knight Riders,1,28,19,8.842105263
AD Russell,18,"Eden Gardens, Kolkata",Kolkata Knight Riders,140,81,172.8395062,AD Russell,Kolkata Knight Riders,3,177,119,8.924369748
AD Russell,18,Holkar Cricket Stadium,Kolkata Knight Riders,31,15,206.6666667,AD Russell,Kolkata Knight Riders,3,41,24,10.25
AD Russell,18,"M Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,0,1,0,AD Russell,Kolkata Knight Riders,3,31,20,9.3
AD Russell,18,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,88,36,244.4444444,AD Russell,Kolkata Knight Riders,0,35,24,8.75
AD Russell,18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kolkata Knight Riders,4,4,100,AD Russell,Kolkata Knight Riders,1,31,20,9.3
AD Russell,18,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,9,10,90,AD Russell,Kolkata Knight Riders,2,12,13,5.538461538
AD Russell,19,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,66,32,206.25,AD Russell,Kolkata Knight Riders,1,28,18,9.333333333
AD Russell,19,"Eden Gardens, Kolkata",Kolkata Knight Riders,311,151,205.9602649,AD Russell,Kolkata Knight Riders,9,172,120,8.6
AD Russell,19,"M Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,48,16,300,AD Russell,Kolkata Knight Riders,0,16,6,16
AD Russell,19,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,50,46,108.6956522,0,0,0,0,0,0
AD Russell,19,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kolkata Knight Riders,24,17,141.1764706,AD Russell,Kolkata Knight Riders,1,29,19,9.157894737
AD Russell,19,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kolkata Knight Riders,15,10,150,AD Russell,Kolkata Knight Riders,0,8,6,8
AD Russell,19,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,0,2,0,AD Russell,Kolkata Knight Riders,0,34,13,15.69230769
AD Russell,21,Dubai International Cricket Stadium,Kolkata Knight Riders,49,26,188.4615385,0,0,0,0,0,0
AD Russell,21,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,45,42,107.1428571,AD Russell,Kolkata Knight Riders,6,85,46,11.08695652
AD Russell,21,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders,55,36,152.7777778,AD Russell,Kolkata Knight Riders,0,2,6,2
AD Russell,21,Sharjah Cricket Stadium,Kolkata Knight Riders,29,18,161.1111111,AD Russell,Kolkata Knight Riders,3,78,52,9
AD Russell,21,"Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,59,53,111.3207547,AD Russell,Kolkata Knight Riders,7,169,118,8.593220339
AD Russell,21,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,63,34,185.2941176,AD Russell,Kolkata Knight Riders,1,27,14,11.57142857
AD Russell,22,"Brabourne Stadium, Mumbai",Kolkata Knight Riders,73,49,148.9795918,AD Russell,Kolkata Knight Riders,4,65,38,10.26315789
AD Russell,22,"Dr DY Patil Sports Academy, Mumbai",Kolkata Knight Riders,87,60,145,AD Russell,Kolkata Knight Riders,6,103,55,11.23636364
AD Russell,22,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders,105,55,190.9090909,AD Russell,Kolkata Knight Riders,5,53,51,6.235294118
AD Russell,22,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,70,36,194.4444444,AD Russell,Kolkata Knight Riders,2,52,32,9.75
