Striker,Season,Venue,Batting Team,total_runs,balls_faced,strike_rate,Bowler,Bowling Team,total_wickets,total_runs_conceded,balls_bowled,economy_rate
0,17,"Wankhede Stadium, Mumbai",0,0,0,0,MM Sharma,Punjab Kings,2,57,24,14.25
MM Sharma,18,Holkar Cricket Stadium,Punjab Kings,7,8,87.5,MM Sharma,Punjab Kings,1,55,31,10.64516129
MM Sharma,18,"M Chinnaswamy Stadium, Bengaluru",Punjab Kings,1,3,33.33333333,MM Sharma,Punjab Kings,0,45,21,12.85714286
MM Sharma,18,"Maharashtra Cricket Association Stadium, Pune",Punjab Kings,2,3,66.66666667,MM Sharma,Punjab Kings,1,28,20,8.4
0,18,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,0,0,MM Sharma,Punjab Kings,5,131,74,10.62162162
0,18,"Sawai Mansingh Stadium, Jaipur",0,0,0,0,MM Sharma,Punjab Kings,0,29,20,8.7
0,18,"Wankhede Stadium, Mumbai",0,0,0,0,MM Sharma,Punjab Kings,0,34,20,10.2
MM Sharma,19,"Wankhede Stadium, Mumbai",Chennai Super Kings,0,2,0,MM Sharma,Chennai Super Kings,1,27,18,9
0,21,Dubai International Cricket Stadium,0,0,0,0,MM Sharma,Delhi Capitals,1,45,25,10.8
0,23,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,0,0,0,MM Sharma,Gujarat Titans,2,17,18,5.666666667
0,23,"Eden Gardens, Kolkata",0,0,0,0,MM Sharma,Gujarat Titans,0,12,6,12
0,23,"M Chinnaswamy Stadium, Bengaluru",0,0,0,0,MM Sharma,Gujarat Titans,0,54,26,12.46153846
0,23,"MA Chidambaram Stadium, Chepauk, Chennai",0,0,0,0,MM Sharma,Gujarat Titans,2,31,24,7.75
MM Sharma,23,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,0,1,0,MM Sharma,Gujarat Titans,20,181,141,7.70212766
0,23,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,0,0,MM Sharma,Gujarat Titans,2,18,24,4.5
0,23,"Sawai Mansingh Stadium, Jaipur",0,0,0,0,MM Sharma,Gujarat Titans,0,5,5,6
0,23,"Wankhede Stadium, Mumbai",0,0,0,0,MM Sharma,Gujarat Titans,1,43,24,10.75
0,24,"Arun Jaitley Stadium, Delhi",0,0,0,0,MM Sharma,Gujarat Titans,0,73,25,17.52
0,24,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,0,0,0,MM Sharma,Gujarat Titans,0,34,18,11.33333333
MM Sharma,24,"M Chinnaswamy Stadium, Bengaluru",Gujarat Titans,0,1,0,MM Sharma,Gujarat Titans,0,32,12,16
0,24,"MA Chidambaram Stadium, Chepauk, Chennai",0,0,0,0,MM Sharma,Gujarat Titans,1,36,25,8.64
0,24,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",0,0,0,0,MM Sharma,Gujarat Titans,2,32,25,7.68
MM Sharma,24,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,2,15,13.33333333,MM Sharma,Gujarat Titans,9,167,112,8.946428571
0,24,"Sawai Mansingh Stadium, Jaipur",0,0,0,0,MM Sharma,Gujarat Titans,1,51,28,10.92857143
MN Samuels,12,Barabati Stadium,Pune Warriors,1,1,100,MN Samuels,Pune Warriors,1,33,18,11
MN Samuels,12,"M Chinnaswamy Stadium, Bengaluru",Pune Warriors,34,20,170,MN Samuels,Pune Warriors,1,5,12,2.5
MN Samuels,12,"MA Chidambaram Stadium, Chepauk, Chennai",Pune Warriors,26,24,108.3333333,MN Samuels,Pune Warriors,3,39,24,9.75
MN Samuels,12,"Punjab Cricket Association IS Bindra Stadium, Mohali",Pune Warriors,2,13,15.38461538,MN Samuels,Pune Warriors,0,27,22,7.363636364
MN Samuels,12,Subrata Roy Sahara Stadium,Pune Warriors,57,62,91.93548387,MN Samuels,Pune Warriors,2,89,75,7.12
MN Samuels,12,"Wankhede Stadium, Mumbai",Pune Warriors,4,4,100,MN Samuels,Pune Warriors,1,21,25,5.04
MN Samuels,13,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pune Warriors,5,9,55.55555556,MN Samuels,Pune Warriors,1,34,25,8.16
MN Samuels,13,Subrata Roy Sahara Stadium,Pune Warriors,3,9,33.33333333,0,0,0,0,0,0
MN Samuels,17,"Arun Jaitley Stadium, Delhi",Delhi Capitals,28,28,100,MN Samuels,Delhi Daredevils,0,34,18,11.33333333
MN Samuels,17,Green Park,Delhi Capitals,1,4,25,0,0,0,0,0,0
MN van Wyk,9,Buffalo Park,Kolkata Knight Riders,32,37,86.48648649,0,0,0,0,0,0
MN van Wyk,9,Kingsmead,Kolkata Knight Riders,117,83,140.9638554,0,0,0,0,0,0
MN van Wyk,9,New Wanderers Stadium,Kolkata Knight Riders,0,3,0,0,0,0,0,0,0
MN van Wyk,9,St George's Park,Kolkata Knight Riders,18,12,150,0,0,0,0,0,0
0,16,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",0,0,0,0,MP Stoinis,Punjab Kings,4,15,24,3.75
MP Stoinis,16,"Eden Gardens, Kolkata",Punjab Kings,0,3,0,MP Stoinis,Punjab Kings,0,26,18,8.666666667
MP Stoinis,16,"Punjab Cricket Association IS Bindra Stadium, Mohali",Punjab Kings,119,89,133.7078652,MP Stoinis,Punjab Kings,4,128,74,10.37837838
